"Brand","USB_ports","Size","Age","Sold_Worldwide","Price"
"MSI",4,"Small",1,872,578
"HP",2,"Medium",2,1112,629
"MSI",4,"Medium",4,1082,421
"HP",0,"Medium",2,1485,760
"MSI",4,"Medium",2,986,646
"HP",2,"Medium",1,1146,804
"MSI",6,"Large",5,768,380
"MSI",5,"Medium",1,1121,763
"MSI",1,"Medium",0,967,832
"HP",2,"Large",2,854,591
"MSI",1,"Large",6,1213,328
"Apple",0,"Medium",2,1180,745
"HP",2,"Medium",1,1083,783
"HP",3,"Medium",4,811,345
"MSI",0,"Medium",2,1170,610
"HP",2,"Small",1,1035,630
"HP",2,"Large",2,978,643
"MSI",1,"Medium",4,686,382
"MSI",3,"Small",3,970,371
"MSI",4,"Medium",1,812,711
"MSI",0,"Large",4,525,361
"HP",0,"Medium",2,1285,681
"MSI",0,"Small",1,978,582
"HP",3,"Large",0,1177,890
"MSI",3,"Large",2,1132,783
"MSI",0,"Large",2,1291,778
"MSI",3,"Medium",2,804,625
"MSI",1,"Large",1,652,676
"HP",0,"Medium",4,1170,477
"HP",1,"Medium",2,990,611
"HP",4,"Large",4,763,387
"MSI",1,"Medium",3,1087,572
"HP",2,"Large",2,1021,649
"MSI",2,"Medium",1,844,745
"HP",4,"Medium",4,1356,509
"MSI",0,"Large",0,1137,903
"MSI",2,"Medium",3,1256,620
"MSI",5,"Medium",1,1077,782
"HP",0,"Medium",3,986,504
"HP",2,"Medium",2,1268,711
"MSI",1,"Small",4,958,379
"HP",3,"Medium",1,911,724
"Apple",4,"Small",2,846,586
"HP",3,"Medium",2,1122,635
"MSI",2,"Small",4,1225,417
"HP",1,"Large",2,992,695
"HP",3,"Large",2,901,639
"Apple",1,"Medium",4,803,515
"MSI",6,"Large",4,1678,678
"Apple",0,"Medium",2,1065,723
"HP",2,"Large",0,781,746
"HP",1,"Small",1,1296,737
"Apple",2,"Large",2,937,730
"MSI",4,"Medium",3,808,487
"MSI",2,"Medium",2,1050,676
"MSI",6,"Medium",3,916,518
"MSI",1,"Medium",2,971,689
"HP",2,"Medium",3,1110,521
"MSI",2,"Large",6,829,297
"HP",2,"Small",1,985,622
"MSI",0,"Medium",3,1296,618
"MSI",2,"Medium",1,1275,808
"Apple",1,"Medium",3,720,498
"HP",2,"Medium",1,1189,756
"MSI",1,"Medium",4,861,397
"HP",1,"Large",3,1204,620
"HP",1,"Medium",3,936,461
"MSI",2,"Large",1,1184,840
"Apple",3,"Large",2,887,738
"MSI",2,"Medium",4,942,378
"HP",0,"Medium",1,874,668
"HP",1,"Medium",1,870,687
"HP",2,"Medium",0,1413,872
"HP",3,"Medium",2,944,598
"MSI",0,"Medium",3,1089,575
"Apple",4,"Large",3,761,632
"Apple",0,"Large",3,1110,672
"HP",0,"Medium",2,702,481
"MSI",2,"Medium",1,1107,822
"HP",0,"Large",2,846,610
"HP",3,"Large",1,1146,776
"MSI",1,"Large",2,1088,720
"HP",3,"Medium",2,904,552
"HP",0,"Large",2,895,608
"HP",4,"Small",1,906,610
"HP",0,"Medium",3,1121,545
"MSI",2,"Medium",4,914,474
"HP",1,"Medium",2,900,611
"Apple",3,"Medium",3,655,530
"HP",6,"Large",2,1084,670
"MSI",0,"Medium",1,987,763
"HP",0,"Large",1,1269,839
"HP",1,"Large",2,1261,693
"HP",2,"Large",3,969,554
"MSI",3,"Medium",1,1259,834
"HP",1,"Small",4,1019,349
"Apple",0,"Medium",3,912,539
"HP",4,"Large",1,877,743
"HP",3,"Large",1,938,756
"MSI",1,"Medium",4,1031,512
"Apple",2,"Medium",2,1559,861
"Apple",1,"Large",3,1637,840
"HP",0,"Large",0,1034,852
"HP",2,"Large",1,1084,834
"MSI",2,"Medium",0,1228,876
"MSI",4,"Large",0,934,856
"MSI",1,"Large",1,966,822
"HP",2,"Medium",2,1153,633
"MSI",0,"Medium",2,967,626
"HP",0,"Medium",0,737,719
"MSI",4,"Large",2,1177,731
"HP",0,"Medium",2,1057,614
"MSI",0,"Large",2,1203,727
"MSI",4,"Large",3,756,550
"MSI",1,"Medium",1,1457,865
"MSI",0,"Medium",4,795,384
"MSI",1,"Medium",3,640,408
"MSI",0,"Medium",2,1071,709
"MSI",0,"Large",1,596,665
"Apple",2,"Small",2,900,532
"Apple",3,"Large",4,1281,674
"Apple",2,"Medium",1,1124,857
"HP",2,"Medium",2,662,527
"MSI",1,"Medium",3,1280,616
"MSI",1,"Small",3,1033,440
"HP",3,"Medium",5,1158,370
"HP",1,"Large",1,1152,827
"MSI",0,"Small",1,974,661
"HP",2,"Large",0,802,786
"MSI",2,"Large",2,644,579
"HP",3,"Small",1,890,508
"MSI",2,"Large",6,1212,348
"MSI",2,"Large",0,1061,910
"MSI",4,"Medium",4,1070,503
"HP",1,"Large",1,778,711
"MSI",6,"Large",2,842,721
"MSI",1,"Medium",0,782,812
"MSI",1,"Medium",2,1085,723
"HP",1,"Small",5,630,69
"HP",3,"Medium",2,899,554
"HP",3,"Medium",1,779,591
"MSI",1,"Medium",2,1183,696
"HP",0,"Large",1,1267,823
"Apple",2,"Medium",2,1401,820
"HP",1,"Small",3,1032,358
"HP",5,"Large",2,999,689
"HP",3,"Small",2,1350,559
"Apple",4,"Small",2,1157,642
"HP",4,"Large",0,713,863
"HP",3,"Medium",1,1086,731
"MSI",1,"Medium",3,764,504
"Apple",3,"Medium",1,801,747
"HP",1,"Small",2,990,511
"HP",1,"Medium",1,1208,822
"MSI",0,"Medium",3,1274,644
"MSI",1,"Medium",5,560,222
"MSI",1,"Medium",6,792,178
"HP",4,"Medium",1,1088,709
"MSI",4,"Large",2,1137,772
"HP",3,"Medium",3,910,498
"MSI",3,"Medium",2,881,609
"MSI",4,"Small",0,926,707
"MSI",2,"Large",1,1023,812
"HP",3,"Medium",1,748,645
"HP",1,"Medium",2,999,605
"HP",1,"Medium",1,1144,762
"Apple",2,"Large",2,875,747
"HP",4,"Medium",2,1023,561
"HP",3,"Large",2,660,518
"HP",2,"Medium",2,696,535
"HP",0,"Medium",4,1239,436
"MSI",1,"Large",5,1161,432
"MSI",5,"Large",2,1315,826
"Apple",4,"Large",3,606,559
"HP",2,"Medium",4,1154,440
"HP",2,"Medium",0,977,792
"HP",3,"Medium",0,1096,850
"Apple",2,"Medium",3,1288,646
"MSI",1,"Medium",6,1059,221
"HP",1,"Medium",3,1125,564
"MSI",4,"Medium",0,1331,996
"MSI",5,"Medium",1,846,745
"MSI",3,"Medium",3,1098,517
"MSI",3,"Medium",3,1102,612
"MSI",3,"Large",0,1067,946
"MSI",0,"Medium",2,748,647
"HP",1,"Medium",6,902,201
"HP",1,"Large",1,1127,829
"HP",3,"Medium",0,1160,868
"HP",5,"Large",2,1115,671
"HP",2,"Medium",2,835,526
"Apple",3,"Medium",0,1316,968
"HP",2,"Medium",4,1011,410
"HP",0,"Medium",4,860,409
"HP",1,"Small",4,869,245
"HP",2,"Small",4,843,261
"HP",3,"Small",1,972,577
"Apple",2,"Medium",1,1439,894
"Apple",2,"Medium",0,1245,932
"MSI",5,"Medium",1,1221,830
"HP",2,"Medium",0,763,756
"HP",0,"Large",2,1077,639
"MSI",4,"Medium",4,850,461
"Apple",2,"Small",6,826,105
"HP",1,"Large",3,870,491
"HP",3,"Medium",1,982,693
"HP",0,"Medium",4,1175,436
"MSI",5,"Large",6,999,344
"HP",0,"Medium",6,1112,249
"HP",2,"Medium",3,1354,542
"HP",2,"Large",2,1093,723
"HP",3,"Small",2,1041,522
"HP",0,"Large",2,936,657
"HP",2,"Small",0,922,684
"HP",2,"Medium",1,1040,680
"HP",3,"Medium",3,1037,474
"HP",2,"Medium",4,851,338
"HP",2,"Large",3,977,518
"MSI",2,"Large",1,1143,812
"MSI",5,"Medium",2,1102,671
"HP",4,"Medium",3,1132,516
"MSI",3,"Medium",6,883,178
"MSI",3,"Medium",5,944,309
"HP",2,"Large",1,1117,746
"HP",2,"Medium",1,650,615
"MSI",0,"Medium",2,1283,694
"MSI",3,"Small",0,1128,804
"Apple",3,"Small",1,909,700
"HP",1,"Large",3,602,398
"HP",3,"Medium",2,756,501
"HP",1,"Small",1,1022,560
"HP",1,"Small",5,1136,234
"HP",1,"Large",4,971,363
"MSI",2,"Small",3,795,366
"HP",3,"Large",1,1046,721
"MSI",1,"Large",0,873,899
"HP",5,"Medium",0,1130,849
"HP",2,"Large",2,766,576
"MSI",0,"Large",4,736,398
"HP",2,"Large",0,1234,939
"HP",3,"Medium",1,773,662
"MSI",1,"Large",1,1053,810
"HP",2,"Large",2,742,586
"MSI",3,"Medium",2,986,642
"MSI",2,"Small",3,1299,509
"Apple",1,"Large",2,822,674
"HP",4,"Large",3,850,495
"HP",0,"Large",3,1022,546
"HP",3,"Medium",3,831,393
"HP",0,"Small",1,885,532
"HP",2,"Medium",2,566,452
"MSI",2,"Large",2,1483,819
"HP",0,"Small",2,976,473
"MSI",1,"Medium",2,864,598
"HP",2,"Small",1,1088,649
"HP",3,"Medium",3,934,466
"MSI",2,"Medium",1,711,705
"Apple",3,"Large",1,1350,945
"MSI",2,"Medium",3,670,451
"HP",1,"Large",3,833,442
"MSI",3,"Large",1,1025,818
"HP",4,"Large",3,1097,512
"HP",3,"Large",2,958,629
"MSI",4,"Large",0,871,845
"HP",2,"Small",0,1380,819
"MSI",3,"Large",2,908,663
"MSI",2,"Large",1,1174,853
"MSI",1,"Small",5,1011,250
"HP",3,"Large",1,1165,752
"MSI",3,"Medium",2,1116,701
"MSI",2,"Large",1,980,822
"HP",0,"Medium",1,701,627
"Apple",2,"Medium",0,1079,886
"HP",1,"Large",2,795,597
"MSI",2,"Medium",1,1232,847
"MSI",2,"Large",1,850,717
"MSI",2,"Large",1,627,713
"HP",2,"Small",1,960,617
"HP",5,"Large",1,796,737
"MSI",2,"Large",2,1232,738
"MSI",2,"Large",0,1072,935
"MSI",0,"Medium",4,853,408
"HP",3,"Medium",2,807,536
"HP",4,"Medium",2,766,561
"HP",2,"Medium",0,1046,806
"HP",3,"Large",2,1124,678
"HP",2,"Large",0,1103,887
"MSI",2,"Medium",1,1237,770
"MSI",3,"Large",1,1260,912
"HP",3,"Large",3,998,581
"HP",1,"Small",2,736,471
"HP",1,"Medium",1,1207,778
"MSI",3,"Medium",1,1017,760
"HP",4,"Small",3,1132,476
"HP",1,"Small",0,839,626
"HP",0,"Medium",1,599,583
"MSI",2,"Large",2,1000,658
"HP",2,"Large",1,867,697
"MSI",1,"Medium",1,1094,812
"MSI",1,"Medium",2,1046,707
"MSI",2,"Large",2,1161,746
"HP",2,"Medium",0,1100,820
"Apple",0,"Small",0,682,707
"HP",2,"Large",1,970,780
"MSI",3,"Large",2,567,559
"HP",2,"Medium",0,1355,875
"HP",1,"Medium",2,601,471
"Apple",2,"Medium",4,1126,570
"HP",1,"Medium",3,1126,592
"MSI",2,"Medium",2,1094,640
"HP",1,"Medium",2,883,569
"HP",3,"Large",0,933,830
"HP",1,"Large",2,1061,673
"MSI",3,"Medium",2,981,629
"HP",1,"Medium",2,1032,637
"HP",5,"Medium",1,1170,741
"HP",5,"Medium",0,1069,774
"MSI",1,"Small",3,1143,503
"HP",3,"Medium",2,885,592
"MSI",1,"Medium",2,998,634
"HP",2,"Large",0,986,879
"HP",1,"Medium",4,1085,431
"MSI",0,"Small",2,1116,554
"HP",0,"Medium",0,1013,877
"HP",1,"Large",3,930,524
"MSI",2,"Large",5,1258,491
"MSI",1,"Medium",0,662,762
"MSI",0,"Small",2,944,576
"MSI",2,"Small",2,1094,547
"MSI",2,"Medium",2,884,612
"HP",2,"Medium",0,928,742
"HP",3,"Small",2,1134,541
"HP",1,"Medium",2,1443,725
"Apple",2,"Large",3,1148,662
"HP",0,"Medium",2,565,458
"MSI",1,"Large",1,1111,810
"HP",2,"Large",1,973,746
"HP",3,"Medium",0,727,724
"MSI",1,"Large",2,683,640
"HP",2,"Medium",1,884,647
"MSI",2,"Small",0,986,739
"MSI",2,"Medium",1,1211,848
"MSI",3,"Medium",1,1218,832
"MSI",0,"Medium",2,1208,745
"HP",3,"Medium",1,942,717
"Apple",1,"Medium",1,1010,819
"HP",3,"Medium",0,1280,860
"HP",2,"Medium",2,1380,747
"HP",3,"Large",3,1171,539
"HP",2,"Large",3,1033,575
"HP",0,"Medium",1,1082,695
"MSI",0,"Large",2,933,686
"MSI",0,"Medium",2,1077,658
"MSI",3,"Small",0,1017,785
"HP",0,"Medium",2,1187,669
"HP",1,"Large",2,1060,659
"MSI",3,"Small",1,989,582
"HP",3,"Large",2,977,594
"HP",4,"Medium",4,635,318
"HP",4,"Medium",0,1089,831
"MSI",1,"Large",1,993,882
"HP",4,"Medium",2,1381,690
"HP",4,"Large",1,1118,792
"HP",1,"Large",3,962,581
"HP",3,"Small",3,1124,432
"MSI",2,"Large",2,1181,777
"HP",1,"Medium",5,1210,342
"MSI",3,"Medium",0,945,828
"HP",2,"Small",1,1179,662
"HP",2,"Medium",1,979,693
"Apple",2,"Medium",0,1102,937
"HP",1,"Medium",2,911,601
"HP",1,"Large",2,763,556
"HP",2,"Medium",1,805,607
"MSI",2,"Small",2,800,536
"HP",1,"Large",1,813,680
"MSI",2,"Small",2,1088,567
"HP",3,"Large",2,1093,683
"MSI",2,"Medium",2,834,606
"HP",2,"Small",1,1287,710
"HP",1,"Large",2,613,532
"HP",2,"Medium",2,1259,600
"HP",3,"Large",3,1223,618
"HP",3,"Medium",4,1034,387
"HP",1,"Medium",2,948,626
"MSI",4,"Large",1,1085,766
"Apple",3,"Medium",4,1043,515
"MSI",3,"Medium",7,991,137
"MSI",2,"Medium",4,809,392
"MSI",1,"Medium",3,967,544
"HP",4,"Small",3,1273,456
"Apple",3,"Large",3,713,608
"MSI",1,"Medium",2,1037,677
"HP",1,"Medium",0,962,766
"Apple",0,"Medium",1,1072,825
"HP",1,"Large",3,736,521
"HP",1,"Large",2,996,622
"MSI",0,"Medium",0,1068,883
"HP",0,"Medium",3,861,405
"HP",0,"Medium",1,1090,722
"MSI",1,"Medium",2,939,558
"HP",3,"Medium",0,796,772
"MSI",0,"Large",2,1058,751
"HP",3,"Medium",6,785,175
"HP",2,"Large",0,1054,832
"HP",5,"Medium",0,1053,853
"HP",1,"Large",1,902,756
"Apple",1,"Small",0,848,740
"MSI",3,"Small",2,1080,542
"HP",4,"Medium",1,1131,758
"HP",4,"Large",3,1014,603
"HP",1,"Medium",2,1364,731
"HP",1,"Large",4,959,408
"HP",1,"Small",2,980,515
"HP",2,"Large",4,779,397
"MSI",2,"Large",1,947,783
"MSI",3,"Large",4,1092,535
"Apple",6,"Medium",6,817,228
"HP",1,"Medium",5,947,299
"MSI",2,"Medium",2,1015,726
"MSI",0,"Large",1,951,810
"MSI",1,"Medium",1,1075,773
"HP",3,"Large",2,859,633
"MSI",0,"Medium",1,1061,722
"HP",1,"Medium",3,1230,566
"MSI",3,"Large",1,1316,934
"HP",2,"Small",0,1170,754
"HP",0,"Large",5,1566,473
"HP",1,"Medium",3,827,458
"MSI",3,"Medium",4,754,399
"MSI",2,"Medium",2,1154,738
"HP",0,"Large",3,843,531
"Apple",1,"Small",3,490,381
"MSI",4,"Medium",3,929,531
"MSI",5,"Medium",2,909,676
"HP",2,"Medium",3,1264,587
"HP",5,"Medium",0,461,658
"HP",0,"Large",2,659,581
"Apple",1,"Large",3,827,585
"MSI",2,"Large",2,968,675
"HP",2,"Small",2,839,455
"HP",2,"Medium",3,839,465
"MSI",2,"Medium",1,977,767
"MSI",2,"Large",0,1130,912
"MSI",1,"Medium",4,1015,472
"HP",1,"Medium",3,1115,549
"HP",1,"Large",2,1222,758
"MSI",2,"Medium",0,843,860
"HP",4,"Large",2,1391,722
"MSI",3,"Large",0,1046,920
